College Name,University Name,Management of College,State,Course Name,Year of Inspection,Annual Intake
"Andaman & Nicobar Islands Institute of Medical Sciences, Port Blair",Pondicherry University,Govt.,Andaman  Nicobar Islands,MBBS,2015,100
ACSR Government Medical College Nellore,"NTR University of Health Sciences, VijayWada",Govt.,Andhra Pradesh,MBBS,2014,150
"Alluri Sitaram Raju Academy of Medical Sciences, Eluru","NTR University of Health Sciences, VijayWada",Trust,Andhra Pradesh,MBBS,2000,150
"Andhra Medical College, Visakhapatnam","NTR University of Health Sciences, VijayWada",Govt.,Andhra Pradesh,MBBS,1923,200
"Apollo Institute of Medical Sciences and Research, Chittoor","NTR University of Health Sciences, VijayWada",Society,Andhra Pradesh,MBBS,2016,150
"Ayaan Institute of Medical Sciences, Teaching Hospital & Research Centre, Kanaka Mamidi, R.R. Dist","NTR University of Health Sciences, VijayWada",Society,Andhra Pradesh,MBBS,2018,150
"Dr. P.S.I. Medical College , Chinoutpalli","NTR University of Health Sciences, VijayWada",Trust,Andhra Pradesh,MBBS,2002,150
"Fathima Instt. of Medical Sciences,Kadapa","NTR University of Health Sciences, VijayWada",Trust,Andhra Pradesh,MBBS,2010,100
"Gayathri Vidya Parishad Institute of Health Care & Medical Technology, Visakhapatnam","NTR University of Health Sciences, VijayWada",Society,Andhra Pradesh,MBBS,2016,
"GITAM Institute of Medical Sciences and Research, Visakhapatnam","Gandhi Institute of Technology and Management (GITAM University) Deemed, Visakhapatnam",Private,Andhra Pradesh,MBBS,2015,
"Government Medical College, Ananthapuram","NTR University of Health Sciences, VijayWada",Govt.,Andhra Pradesh,MBBS,2000,100
"Government Siddhartha Medical College, Vijaywada","NTR University of Health Sciences, VijayWada",Govt.,Andhra Pradesh,MBBS,1980,150
"Great Eastern Medical School and Hospital,Srikakulam","NTR University of Health Sciences, VijayWada",Trust,Andhra Pradesh,MBBS,2010,150
"GSL Medical College, Rajahmundry","NTR University of Health Sciences, VijayWada",Trust,Andhra Pradesh,MBBS,2002,150
"Guntur Medical College, Guntur","NTR University of Health Sciences, VijayWada",Govt.,Andhra Pradesh,MBBS,1946,200
"Katuri Medical College, Guntur","NTR University of Health Sciences, VijayWada",Trust,Andhra Pradesh,MBBS,2002,150
"Konaseema Institute of Medical Sciences & Research Foundation, Amalapuram","NTR University of Health Sciences, VijayWada",Trust,Andhra Pradesh,MBBS,2005,150
"Kurnool Medical College, Kurnool","NTR University of Health Sciences, VijayWada",Govt.,Andhra Pradesh,MBBS,1957,200
"Maharajah Institute of Medical Sciences, Vizianagaram","NTR University of Health Sciences, VijayWada",Trust,Andhra Pradesh,MBBS,2002,150
"Narayana Medical College, Nellore","NTR University of Health Sciences, VijayWada",Trust,Andhra Pradesh,MBBS,2000,250
"Nimra Institute of Medical Sciences, Krishna Dist., A.P.","NTR University of Health Sciences, VijayWada",Society,Andhra Pradesh,MBBS,2016,
"NRI Institute of Medical Sciences, Visakhapatnam","NTR University of Health Sciences, VijayWada",Trust,Andhra Pradesh,MBBS,2012,150
"NRI Medical College, Guntur","NTR University of Health Sciences, VijayWada",Trust,Andhra Pradesh,MBBS,2003,200
"P E S Institute Of Medical Sciences and Research, Kuppam","NTR University of Health Sciences, VijayWada",Trust,Andhra Pradesh,MBBS,2001,150
"Rajiv Gandhi Institute of Medical Sciences, Kadapa","NTR University of Health Sciences, VijayWada",Govt.,Andhra Pradesh,MBBS,2006,150
"Rajiv Gandhi Institute of Medical Sciences,Ongole, AP","NTR University of Health Sciences, VijayWada",Govt.,Andhra Pradesh,MBBS,2011,100
"Rajiv Gandhi Institute of Medical Sciences, Srikakulam","NTR University of Health Sciences, VijayWada",Govt.,Andhra Pradesh,MBBS,2008,100
"Rangaraya Medical College, Kakinada","NTR University of Health Sciences, VijayWada",Govt.,Andhra Pradesh,MBBS,1958,200
"RVS Institute of Medical Sciences, Chittoor, Andhra Pradesh","NTR University of Health Sciences, VijayWada",Society,Andhra Pradesh,MBBS,2016,
"Santhiram Medical College, Nandyal","NTR University of Health Sciences, VijayWada",Trust,Andhra Pradesh,MBBS,2005,100
"SVIMS - Sri Padmavathi Medical College for Women, Alipiri Road, Tirupati","Sri Venkateswara Institute of Medical Sciences (SVIMS), Tirupati",Govt.,Andhra Pradesh,MBBS,2014,150
"S V Medical College, Tirupati","NTR University of Health Sciences, VijayWada",Govt.,Andhra Pradesh,MBBS,1960,200
"Viswabharathi Medical College, Kurnool","NTR University of Health Sciences, VijayWada",Society,Andhra Pradesh,MBBS,2014,
"Tomo Riba Institute of Health & Medical Sciences, Naharlagun",Rajiv Gandhi University,Govt.,Arunachal Pradesh,MBBS,2018,50
"Assam Medial College, Dibrugarh",Srimanta Shankardeva University of Health Sciences,Govt.,Assam,MBBS,1947,170
"Fakhruddin Ali Ahmed Medical College, Barpeta, Assam",Srimanta Shankardeva University of Health Sciences,Govt-Society,Assam,MBBS,2012,100
"Gauhati Medical College, Guwahati",Srimanta Shankardeva University of Health Sciences,Govt.,Assam,MBBS,1960,156
"Jorhat Medical College & Hospital , Jorhat",Srimanta Shankardeva University of Health Sciences,Govt.,Assam,MBBS,2010,100
"Silchar Medical College, Silchar",Srimanta Shankardeva University of Health Sciences,Govt.,Assam,MBBS,1968,100
"Tezpur Medical College & Hospital, Tezpur",Srimanta Shankardeva University of Health Sciences,Govt.,Assam,MBBS,2014,100
"All India Institute of Medical Sciences, Patna","Statutory Autonomous, AIIMS",Govt.,Bihar,MBBS,2012,100
"Anugrah Narayan Magadh Medical College, Gaya","Aryabhatta Knowledge University, Patna",Govt.,Bihar,MBBS,1970,100
"Darbhanga Medical College, Lehriasarai","Aryabhatta Knowledge University, Patna",Govt.,Bihar,MBBS,1946,100
"Government Medical College, Bettiah","Aryabhatta Knowledge University, Patna",Govt.,Bihar,MBBS,2013,100
"Indira Gandhi Institute of Medical Sciences,Sheikhpura, Patna","Indira Gandhi Instt of Medical Sciences (Deemed University), Patna",Govt.,Bihar,MBBS,2011,100
"Jawaharlal Nehru Medical College, Bhagalpur","Aryabhatta Knowledge University, Patna",Govt.,Bihar,MBBS,1971,100
"Katihar Medical College, Katihar",B.N. Mandal University,Trust,Bihar,MBBS,1987,100
"Mata Gujri Memorial Medical College, Kishanganj",B.N. Mandal University,Trust,Bihar,MBBS,1990,100
"Nalanda Medical College, Patna","Aryabhatta Knowledge University, Patna",Govt.,Bihar,MBBS,1970,100
"Narayan Medical College & Hospital, Sasaram","Veer Kunwar Singh University,Bihar",Trust,Bihar,MBBS,2008,150
"Patna Medical College, Patna","Aryabhatta Knowledge University, Patna",Govt.,Bihar,MBBS,1925,150
"Shri Krishna Medical College, Muzzafarpur","Aryabhatta Knowledge University, Patna",Govt.,Bihar,MBBS,1970,100
"Vardhman Institute of Medical Sciences, Pawapuri, Nalanda","Ayush and Health Sciences University, Raipur",Govt.,Bihar,MBBS,2013,100
"Government Medical College, Chandigarh",Punjab University,Govt.,Chandigarh,MBBS,1991,100
"All India Institute of Medical Sciences, Raipur","Statutory Autonomous, AIIMS",Govt.,Chattisgarh,MBBS,2012,100
"Chandulal Chandrakar Memorial Medical College, Durg","Ayush and Health Sciences University, Raipur",Private,Chattisgarh,MBBS,2013,
"Chhattisgarh Institute of Medical Sciences, Bilaspur",Guru Ghasidas University,Govt.,Chattisgarh,MBBS,2001,100
"Government Medical College, Ambikapur (Surguja), Chhattisgarh","Chhattisgarh Ayush and Health Sciences University, Raipur",Govt.,Chattisgarh,MBBS,2016,100
"Government Medical College, Rajnandgaon","Chhattisgarh Ayush and Health Sciences University, Raipur",Govt.,Chattisgarh,MBBS,2014,100
"Late Shri Baliram Kashyap Memorial NDMC Govt. Medical College, Jagdalpur","Pt.Ravishankar Shukla University (Prev. Ravishankar University),Raipur",Govt.,Chattisgarh,MBBS,2006,100
"Late Shri Lakhi Ram Agrawal Memorial Govt. Medical College, Raigarh","Chhattisgarh Ayush and Health Sciences University, Raipur",Govt.,Chattisgarh,MBBS,2013,50
"Pt. J N M Medical College, Raipur","Ayush and Health Sciences University, Raipur",Govt.,Chattisgarh,MBBS,1963,150
"Raipur Institute of Medical Sciences (RIMS), Raipur","Chhattisgarh Ayush and Health Sciences University, Raipur",Society,Chattisgarh,MBBS,2016,
"Shri Shankaracharya Institute of Medical Sciences, Bhilai","Chhattisgarh Ayush and Health Sciences University, Raipur",Society,Chattisgarh,MBBS,2016,
"All India Institute of Medical Sciences, New Delhi","Statutory Autonomous, AIIMS",Govt.,Delhi,MBBS,1956,50
"Army College of Medical Sciences, New Delhi",Guru Gobind Singh Indraprastha University,Trust,Delhi,MBBS,2008,100
"Dr. Baba Saheb Ambedkar Medical College, Rohini, Delhi",Guru Gobind Singh Indraprastha University,Govt.,Delhi,MBBS,2016,100
"Hamdard Institute of Medical Sciences & Research, New Delhi",University of Jamia Hamdard (Hamdard University),Society,Delhi,MBBS,2012,100
"Lady Hardinge Medical College, New Delhi",Delhi University,Govt.,Delhi,MBBS,1916,200
"Maulana Azad Medical College, New Delhi",Delhi University,Govt.,Delhi,MBBS,1958,250
"North Delhi Muncipal Corporation Medical College, Delhi",Guru Gobind Singh Indraprastha University,Govt.,Delhi,MBBS,2013,50
"University College of Medical Sciences & GTB Hospital, New Delhi",Delhi University,Govt.,Delhi,MBBS,1971,150
"Vardhman Mahavir Medical College & Safdarjung Hospital, Delhi",Guru Gobind Singh Indraprastha University,Govt.,Delhi,MBBS,2002,150
"Goa Medical College, Panaji",Goa University,Govt.,Goa,MBBS,1963,150
"Ahmedabad Municipal Coporation Medical Education Trust Medical College, Ahmedabad",Gujarat University,Govt.,Gujarat,MBBS,2009,150
"Banas Medical College and Research Institute, Palanpur, Gujarat","Hemchandracharya North Gujarat University,Patan",Trust,Gujarat,MBBS,2018,150
"B J Medical College, Ahmedabad",Gujarat University,Govt.,Gujarat,MBBS,1946,250
"CU Shah Medical College, Surendra Nagar",Saurashtra University,Trust,Gujarat,MBBS,2000,100
"Dr. M.K. Shah Medical College & Research Centre, Ahmedabad",Gujarat University,Trust,Gujarat,MBBS,2017,
"GCS Medical College, Ahmedabad",Gujarat University,Trust,Gujarat,MBBS,2011,150
"GMERS Medical College, Dharpur Patan","Hemchandracharya North Gujarat University,Patan",Govt-Society,Gujarat,MBBS,2012,150
"GMERS Medical College, Gandhinagar",Gujarat University,Govt-Society,Gujarat,MBBS,2012,150
"GMERS Medical College, Gotri, Vadodara",MS University of Baroda,Govt-Society,Gujarat,MBBS,2011,150
"GMERS Medical College, Hadiyol, Himmatnagar","Hemchandracharya North Gujarat University,Patan",Govt-Society,Gujarat,MBBS,2015,150
"GMERS Medical College, Junagadh",Saurashtra University,Govt-Society,Gujarat,MBBS,2015,150
"GMERS Medical College, Sola, Ahmedabad",Gujarat University,Govt-Society,Gujarat,MBBS,2011,150
"GMERS Medical College, Vadnagar, Mehsana","Hemchandracharya North Gujarat University,Patan",Govt-Society,Gujarat,MBBS,2017,150
"GMERS Medical College, Valsad",Veer Narmad South Gujarat University,Govt-Society,Gujarat,MBBS,2012,150
"Government Medical College, Bhavnagar",Maharaja Krishnakumarsinghji Bhavnagar University,Govt.,Gujarat,MBBS,1995,150
"Government Medical College, Surat",Veer Narmad South Gujarat University,Govt.,Gujarat,MBBS,1964,150
"Gujarat Adani Institute of Medical Sciences, Bhuj","KSKV Kachchh University, Bhuj",Trust,Gujarat,MBBS,2009,150
"Medical College, Baroda",MS University of Baroda,Govt.,Gujarat,MBBS,1949,250
"MP Shah Medical College,Jamnagar",Saurashtra University,Govt.,Gujarat,MBBS,1955,250
"Pandit Deendayal Upadhyay Medical College, Rajkot",Saurashtra University,Govt.,Gujarat,MBBS,1995,150
"Parul Institute of Medical Sciences & Research, Vadodara","Parul University, Vadodara",Private,Gujarat,MBBS,2016,150
"Pramukhswami Medical College, Karmsad",Sardar Patel University,Trust,Gujarat,MBBS,1987,100
"SBKS Medical Instt. & Research Centre, Vadodra","Sumandeep Vidyapeeth University (Deemed), Vadodra",Trust,Gujarat,MBBS,2002,150
"Smt. N.H.L.Municipal Medical College, Ahmedabad",Gujarat University,Govt.,Gujarat,MBBS,1963,250
